chunckID,start_time,subtitles
0,00:00:00.375,"['[주제곡]\n', '\n']"
1,00:00:51.718,"['[잔잔한 음악]\n', '\n']"
2,00:00:57.849,"['(삼신)\n', '사람의 손때나 피가 묻은 물건에\n', '염원이 깃들면\n', '\n']"
3,00:01:03.813,"['도깨비가 된단다\n', '\n']"
4,00:01:09.110,"['[의미심장한 효과음]\n', '\n']"
5,00:01:13.073,"['숱한 전장에서\n', '수천의 피를 묻힌 검이\n', '\n']"
6,00:01:16.534,"['[하늘이 콰르릉거린다]\n', '\n']"
7,00:01:18.078,"['제 주인의 피까지 묻혔으니\n', '오죽했을까?\n', '\n']"
8,00:01:25.502,"['[몽환적인 음악]\n', '\n']"
9,00:01:37.305,"['[타이어 마찰음]\n', '오직 도깨비 신부만이\n', '\n']"
10,00:01:40.600,"['그 검을 뽑을 것이다\n', '\n']"
11,00:01:44.020,"['검을 뽑으면 무로 돌아가 평안하리라\n', '\n']"
12,00:01:58.284,"['(삼신)\n', '고약한 신탁이 아닐 수 없었지\n', '\n']"
13,00:02:03.373,"['그렇게 불멸로 다시 깨어난 도깨비는\n', '\n']"
14,00:02:07.001,"['이 세상 어디에나 있고\n', '어디에도 없으며\n', '\n']"
15,00:02:10.672,"['지금도 어딘가...\n', '\n']"
16,00:02:11.714,"['[웃음]\n', '\n']"
17,00:02:15.218,"['왜 웃고 지랄이야, 이 썩을 것이\n', '\n']"
18,00:02:18.555,"['(연희)\n', ""'지금도 어디에선가\n"", ""신부를 찾고 있는데'\n"", '\n']"
19,00:02:21.474,"[""'그 신부가 바로 나다' 그러려고?\n"", '\n']"
20,00:02:24.018,"['[웃음]\n', '\n']"
21,00:02:25.937,"['내 이래 봬도\n', '소싯적에 남자 여럿 울렸다\n', '\n']"
22,00:02:29.315,"['(연희)\n', '치\n', '\n']"
23,00:02:30.316,"['괜히 다음에 왔다\n', '이 할망구 어디 갔나 놀라지나 말아\n', '\n']"
24,00:02:33.111,"['음, 부럽다\n', '\n']"
25,00:02:36.698,"['(삼신)\n', '내가 노망이지\n', '\n']"
26,00:02:38.449,"['미혼모 앞에서 할 자랑이 아닌데\n', '\n']"
27,00:02:42.370,"['치, 못됐어\n', '\n']"
28,00:02:44.831,"['(삼신)\n', '시금칫값 깎아 줘, 배춧값 깎아 줘\n', '\n']"
29,00:02:46.958,"['내가 뭐가 못됐어?\n', '\n']"
30,00:02:49.002,"['너 버리고 도망간 그 새끼가 못됐지\n', '\n']"
31,00:02:52.130,"['[삼신의 못마땅한 숨소리]\n', '\n']"
32,00:02:53.965,"['그건 또 그렇네\n', '\n']"
33,00:02:55.383,"['[살짝 웃는다]\n', '\n']"
34,00:02:57.135,"['근데 그 얘기 너무 슬프다\n', '\n']"
35,00:02:59.012,"['(삼신)\n', '[코웃음 치며]\n', '슬플 것도 쌨다\n', '\n']"
36,00:03:01.347,"['지독히 낭만적인 저주잖아요\n', '\n']"
37,00:03:04.225,"['죽기 위해 신부를 찾아야 한다는 게\n', '\n']"
38,00:03:08.563,"['(연희)\n', '신 못됐다\n', '\n']"
39,00:03:10.023,"['(삼신)\n', '신은 원래 못됐어\n', '\n']"
40,00:03:12.442,"['이기적이고 질투 많고\n', '\n']"
41,00:03:15.695,"['자기만 알아, 자기만\n', '\n']"
42,00:03:19.824,"['어떤 놈이랑 똑같네\n', '\n']"
43,00:03:23.077,"['(연희)\n', '아휴, 그만 갈게요, 많이 파세요\n', '\n']"
44,00:03:26.414,"['다음에 왔을 때도 꼭 계시고\n', '\n']"
45,00:03:28.625,"['[웃음]\n', '\n']"
46,00:03:29.709,"['[연희가 봉지를 바스락 집어 든다]\n', '\n']"
47,00:03:31.002,"['[의미심장한 음악]\n', '[삼신의 힘주는 신음]\n', '\n']"
48,00:03:35.048,"['생사를 오가는 순간이 오면\n', '\n']"
49,00:03:38.051,"['염원을 담아 간절히 빌어\n', '\n']"
50,00:03:41.012,"['[사람들이 재잘거린다]\n', '\n']"
51,00:03:42.138,"['(삼신)\n', '혹여 어느 마음 약한 신이\n', '듣고 있을지도 모르니\n', '\n']"
52,00:03:46.517,"['[새가 지저귄다]\n', '\n']"
53,00:04:01.783,"['[문이 달칵 닫힌다]\n', '\n']"
54,00:04:04.869,"['(김신)\n', '나라면 추천하지 않겠어\n', '\n']"
55,00:04:06.829,"['지금 집을 나가면\n', '지금보다 더 못한 삶을 살게 돼\n', '\n']"
56,00:04:09.999,"['다시는 엄마를 못 보게 될 거고\n', '\n']"
57,00:04:11.376,"['당신 뭐야? 한국 사람이야?\n', '\n']"
58,00:04:13.503,"['보다 복잡한 사람이야\n', '\n']"
59,00:04:15.171,"['(김신)\n', '이제 네 차례야\n', '\n']"
60,00:04:17.131,"['또박또박 얘기해\n', '\n']"
61,00:04:19.008,"['[밝은 음악]\n', '\n']"
62,00:04:20.551,"['입양했으니 당신은 내 아빠라고\n', '\n']"
63,00:04:22.804,"['그러니 날 잘 키우라고\n', '\n']"
64,00:04:24.597,"['엄마한테도 얘기해\n', '도와달라고, 아프다고\n', '\n']"
65,00:04:27.850,"['(아이1)\n', '무슨 개소리야? 비켜\n', '\n']"
66,00:04:30.228,"['그렇게 그어서는 죽지는 않고\n', '손만 못 쓰게 되니까 참고하고\n', '\n']"
67,00:04:34.565,"['당신 누구야?\n', '\n']"
68,00:04:35.566,"['눈 피하지 말고 또박또박\n', '할 수 있어?\n', '\n']"
69,00:04:38.695,"['그러다 맞아 죽으면\n', '당신이 책임질 거야?\n', '\n']"
70,00:04:42.031,"['그래서 갈비뼈 부러뜨려 줬잖아\n', '\n']"
71,00:04:43.825,"['(남자1)\n', '[영어]\n', '너 이 자식!\n', '\n']"
72,00:04:46.494,"['[남자1의 놀라는 신음]\n', '[남자1이 털썩 넘어진다]\n', '\n']"
73,00:04:49.580,"['[남자1의 힘겨운 신음]\n', '\n']"
74,00:04:53.710,"['(김신)\n', '[한국어]\n', '이건 도시락, 얘기 끝나면 학교 가\n', '\n']"
75,00:04:55.920,"['수학 문제 17번 답은 2가 아니라 4야\n', '\n']"
76,00:04:58.006,"['[남자1의 힘겨운 신음]\n', '그거 하나 틀리길래\n', '\n']"
77,00:04:59.674,"['당신 대체 누구야?\n', '\n']"
78,00:05:03.469,"['[김신이 아이1의 어깨를 툭 친다]\n', '\n']"
79,00:05:13.896,"['[천둥이 콰르릉 친다]\n', '\n']"
80,00:05:17.984,"['(김신)\n', '그는 물이고 불이고 바람이며\n', '\n']"
81,00:05:22.697,"['[무거운 음악]\n', '빛이자 어둠이다\n', '\n']"
82,00:05:26.075,"['그리고 한때\n', '\n']"
83,00:05:27.118,"['[날카로운 효과음]\n', '\n']"
84,00:05:29.078,"['[김신의 힘겨운 신음]\n', '\n']"
85,00:05:31.581,"['[김신의 거친 숨소리]\n', '\n']"
86,00:05:34.625,"['인간이었다\n', '\n']"
87,00:05:36.961,"['[소란스럽게 싸운다]\n', '\n']"
88,00:05:41.174,"['[거친 숨소리]\n', '\n']"
89,00:05:44.552,"['[전장이 소란스럽다]\n', '[말 울음]\n', '\n']"
90,00:05:51.642,"['[말 울음]\n', '\n']"
