chunckID,start_time,pos,tag
0,00:00:00.375,"[['[/SS'], ['주제곡/NNG', ']/SS']]","[['SS'], ['NNG', 'SS']]"
1,00:00:51.718,"[['[/SS'], ['잔/XPN', '잔한/NNG'], ['음악/NNG', ']/SS']]","[['SS'], ['XPN', 'NNG'], ['NNG', 'SS']]"
2,00:00:57.849,"[['(/SS'], ['삼신/NNG', ')/SS'], ['사람/NNG', '의/JKG'], ['손때/NNG', '나/JC'], ['피/NNG', '가/JKS'], ['묻/VV', '은/ETD'], ['물건/NNG', '에/JKM'], ['염원/NNG', '이/JKS'], ['깃들/VV', '면/ECE']]","[['SS'], ['NNG', 'SS'], ['NNG', 'JKG'], ['NNG', 'JC'], ['NNG', 'JKS'], ['VV', 'ETD'], ['NNG', 'JKM'], ['NNG', 'JKS'], ['VV', 'ECE']]"
3,00:01:03.813,"[['도깨비/NNG', '가/JKC'], ['되/VV', 'ㄴ단다/EFN']]","[['NNG', 'JKC'], ['VV', 'EFN']]"
4,00:01:09.110,"[['[/SS'], ['의미심장/XR', '하/XSA', 'ㄴ/ETD'], ['효과음/NNG', ']/SS']]","[['SS'], ['XR', 'XSA', 'ETD'], ['NNG', 'SS']]"
5,00:01:13.073,"[['숱/NNG', '하/XSV', 'ㄴ/ETD'], ['전장/NNG', '에서/JKM'], ['수천/NNG', '의/JKG'], ['피/NNG', '를/JKO'], ['묻히/VV', 'ㄴ/ETD'], ['검/NNG', '이/JKS']]","[['NNG', 'XSV', 'ETD'], ['NNG', 'JKM'], ['NNG', 'JKG'], ['NNG', 'JKO'], ['VV', 'ETD'], ['NNG', 'JKS']]"
6,00:01:16.534,"[['[/SS'], ['하늘/NNG', '이/JKS'], ['콰르릉거리/VV', 'ㄴ다/ECS', ']/SS']]","[['SS'], ['NNG', 'JKS'], ['VV', 'ECS', 'SS']]"
7,00:01:18.078,"[['저/NP', '의/JKG'], ['주인/NNG', '의/JKG'], ['피/NNG', '까지/JX'], ['묻히/VV', '었/EPT', '으니/ECD'], ['오죽하/VA', '었/EPT', '을까/EFQ', '?/SF']]","[['NP', 'JKG'], ['NNG', 'JKG'], ['NNG', 'JX'], ['VV', 'EPT', 'ECD'], ['VA', 'EPT', 'EFQ', 'SF']]"
8,00:01:25.502,"[['[/SS'], ['몽환적/NNG', '이/VCP', 'ㄴ/ETD'], ['음악/NNG', ']/SS']]","[['SS'], ['NNG', 'VCP', 'ETD'], ['NNG', 'SS']]"
9,00:01:37.305,"[['[/SS'], ['타/VV', '아/ECS'], ['잇/VV', '어/ECD'], ['마찰음/NNG', ']/SS'], ['오/NNG'], ['직/NNG'], ['도깨비/NNG'], ['신부/NNG', '만/JX'], ['잇/VV']]","[['SS'], ['VV', 'ECS'], ['VV', 'ECD'], ['NNG', 'SS'], ['NNG'], ['NNG'], ['NNG'], ['NNG', 'JX'], ['VV']]"
10,00:01:40.600,"[['그/MDT'], ['검/NNG', '을/JKO'], ['뽑/VV', '을/ETD'], ['것/NNB', '이/VCP', '다/EFN']]","[['MDT'], ['NNG', 'JKO'], ['VV', 'ETD'], ['NNB', 'VCP', 'EFN']]"
11,00:01:44.020,"[['검/NNG', '을/JKO'], ['뽑/VV', '으면/ECD'], ['무/NNG', '로/JKM'], ['돌아가/VV'], ['평안하리라/UN']]","[['NNG', 'JKO'], ['VV', 'ECD'], ['NNG', 'JKM'], ['VV'], ['UN']]"
12,00:01:58.284,"[['(/SS'], ['삼신/NNG', ')/SS'], ['고약/NNG', '하/XSV', 'ㄴ/ETD'], ['신탁/NNG', '이/JKS'], ['아니/VV', 'ㄹ/ETD'], ['수/NNB'], ['없었/VV', '지/ECD']]","[['SS'], ['NNG', 'SS'], ['NNG', 'XSV', 'ETD'], ['NNG', 'JKS'], ['VV', 'ETD'], ['NNB'], ['VV', 'ECD']]"
13,00:02:03.373,"[['그렇/VA', '게/ECD'], ['불멸/NNG', '로/JKM'], ['다시/MAG'], ['깨어나/VV', 'ㄴ/ETD'], ['도깨비/NNG', '는/JX']]","[['VA', 'ECD'], ['NNG', 'JKM'], ['MAG'], ['VV', 'ETD'], ['NNG', 'JX']]"
14,00:02:07.001,"[['이/MDT'], ['세상/NNG'], ['어디/NP', '에/JKM'], ['나/VV', '아/ECS'], ['있/VXV', '고/ECE'], ['어디/NP', '에/JKM', '도/JX'], ['없/VA', '으며/ECE']]","[['MDT'], ['NNG'], ['NP', 'JKM'], ['VV', 'ECS'], ['VXV', 'ECE'], ['NP', 'JKM', 'JX'], ['VA', 'ECE']]"
15,00:02:10.672,"[['지금/NNG', '도/JX'], ['어/VV', '어/ECS'], ['디/VV', 'ㄴ가/ECS', '.../SE']]","[['NNG', 'JX'], ['VV', 'ECS'], ['VV', 'ECS', 'SE']]"
16,00:02:11.714,"[['[/SS'], ['웃음/NNG', ']/SS']]","[['SS'], ['NNG', 'SS']]"
17,00:02:15.218,"[['왜/MAG'], ['웃/VV', '고/ECE'], ['지랄/NNG', '이야/JX', ',/SP'], ['이/MDT'], ['썩/VV', '을/ETD'], ['것/NNB', '이/VCP']]","[['MAG'], ['VV', 'ECE'], ['NNG', 'JX', 'SP'], ['MDT'], ['VV', 'ETD'], ['NNB', 'VCP']]"
18,00:02:18.555,"[['(/SS'], ['연희/NNG', ')/SS'], [""'/SS""], ['지금/NNG', '도/JX'], ['어디/NP', '에/JKM'], ['선가/NNG'], ['신부/NNG', '를/JKO'], ['찾/VV', '고/ECE'], ['있/VXV', '는데/ECD', ""'/SS""]]","[['SS'], ['NNG', 'SS'], ['SS'], ['NNG', 'JX'], ['NP', 'JKM'], ['NNG'], ['NNG', 'JKO'], ['VV', 'ECE'], ['VXV', 'ECD', 'SS']]"
19,00:02:21.474,"[[""'/SS""], ['그/MDT'], ['신부/NNG', '가/JKS'], ['바로/MAG'], ['나/VV', '다/ECS', ""'/SS""], ['그러/VV', '려고/ECD', '?/SF']]","[['SS'], ['MDT'], ['NNG', 'JKS'], ['MAG'], ['VV', 'ECS', 'SS'], ['VV', 'ECD', 'SF']]"
20,00:02:24.018,"[['[/SS'], ['웃음/NNG', ']/SS']]","[['SS'], ['NNG', 'SS']]"
21,00:02:25.937,"[['내/NNB'], ['이래/NNB'], ['뵈/VV', '어도/ECD'], ['소싯적/NNG', '에/JKM'], ['남/VV', '자/ECE'], ['여럿/NNG'], ['울리/VV', '었/EPT', '다/EFN']]","[['NNB'], ['NNB'], ['VV', 'ECD'], ['NNG', 'JKM'], ['VV', 'ECE'], ['NNG'], ['VV', 'EPT', 'EFN']]"
22,00:02:29.315,"[['(/SS'], ['연희/NNG', ')/SS'], ['치/NNG']]","[['SS'], ['NNG', 'SS'], ['NNG']]"
23,00:02:30.316,"[['괜히/MAG'], ['다음/NNG', '에/JKM'], ['오/VV', '았/EPT', '다/ECS'], ['이/MDT'], ['할망구/NNG'], ['어디/NP'], ['가/VV', '었/EPT', '나/EFQ'], ['놀/VV', 'ㄹ라/ECD'], ['지/VXV', '나/ECE'], ['말/VV', '아/ECD']]","[['MAG'], ['NNG', 'JKM'], ['VV', 'EPT', 'ECS'], ['MDT'], ['NNG'], ['NP'], ['VV', 'EPT', 'EFQ'], ['VV', 'ECD'], ['VXV', 'ECE'], ['VV', 'ECD']]"
24,00:02:33.111,"[['음/NNG', ',/SP'], ['부럽/VA', '다/EFN']]","[['NNG', 'SP'], ['VA', 'EFN']]"
25,00:02:36.698,"[['(/SS'], ['삼신/NNG', ')/SS'], ['나/NP', '가/JKS'], ['노망/NNG', '이/JKS'], ['짓/VV']]","[['SS'], ['NNG', 'SS'], ['NP', 'JKS'], ['NNG', 'JKS'], ['VV']]"
26,00:02:38.449,"[['미혼모/NNG'], ['앞/NNG', '에서/JKM'], ['하/VV', 'ㄹ/ETD'], ['자랑/NNG', '이/JKC'], ['아니/VCN', 'ㄴ데/ECE']]","[['NNG'], ['NNG', 'JKM'], ['VV', 'ETD'], ['NNG', 'JKC'], ['VCN', 'ECE']]"
27,00:02:42.370,"[['치/NNG', ',/SP'], ['못되/VA', '었/EPT', '어/EFN']]","[['NNG', 'SP'], ['VA', 'EPT', 'EFN']]"
28,00:02:44.831,"[['(/SS'], ['삼신/NNG', ')/SS'], ['시금/MAG'], ['칫/UN'], ['값/NNG'], ['깎/VV', '아/ECD'], ['주/VXV', '어/ECS', ',/SP'], ['배/NNG'], ['춧/UN'], ['값/NNG'], ['깎/VV', '아/ECD'], ['주/VV', '어/ECS']]","[['SS'], ['NNG', 'SS'], ['MAG'], ['UN'], ['NNG'], ['VV', 'ECD'], ['VXV', 'ECS', 'SP'], ['NNG'], ['UN'], ['NNG'], ['VV', 'ECD'], ['VV', 'ECS']]"
29,00:02:46.958,"[['나/NP', '가/JKS'], ['뭐/NP', '가/JKS'], ['못되/VV', '었/EPT', '어/EFN', '?/SF']]","[['NP', 'JKS'], ['NP', 'JKS'], ['VV', 'EPT', 'EFN', 'SF']]"
30,00:02:49.002,"[['느/VV', '어/ECS'], ['버리/VXV', '고/ECE'], ['도망가/VV', 'ㄴ/ETD'], ['그/MDT'], ['새끼/NNG', '가/JKS'], ['못되/VA', '었/EPT', '지/EFN']]","[['VV', 'ECS'], ['VXV', 'ECE'], ['VV', 'ETD'], ['MDT'], ['NNG', 'JKS'], ['VA', 'EPT', 'EFN']]"
31,00:02:52.130,"[['[/SS'], ['삼/NNG'], ['신의/NNG'], ['못마땅/XR', '하/XSA', 'ㄴ/ETD'], ['숨소리/NNG', ']/SS']]","[['SS'], ['NNG'], ['NNG'], ['XR', 'XSA', 'ETD'], ['NNG', 'SS']]"
